No,Hasil Prediksi,Nilai Aktual,Selisih,Akurasi (%)
1,25.76,24,1.7600000000000016,92.67
2,6.06,3,3.0599999999999996,-2.0
3,11.49,12,0.5099999999999998,95.75
4,59.73,60,0.2700000000000031,99.55
5,59.49,60,0.509999999999998,99.15
6,5.43,6,0.5700000000000003,90.5
7,6.06,6,0.05999999999999961,99.0
8,17.88,12,5.879999999999999,51.0
9,6.18,6,0.17999999999999972,97.0
10,35.64,36,0.35999999999999943,99.0
11,59.49,60,0.509999999999998,99.15
12,9.75,12,2.25,81.25
13,11.43,12,0.5700000000000003,95.25
14,42.05,24,18.049999999999997,24.79
15,5.91,6,0.08999999999999986,98.5
16,11.7,12,0.3000000000000007,97.5
17,5.91,6,0.08999999999999986,98.5
18,6.96,6,0.96,84.0
19,3.9,3,0.8999999999999999,70.0
20,13.92,12,1.92,84.0
21,42.05,60,17.950000000000003,70.08
22,58.8,60,1.2000000000000028,98.0
23,11.19,12,0.8100000000000005,93.25
24,22.62,24,1.379999999999999,94.25
25,35.4,36,0.6000000000000014,98.33
26,40.68,36,4.68,87.0
27,3.45,3,0.4500000000000002,85.0
28,23.04,24,0.9600000000000009,96.0
29,6.42,6,0.41999999999999993,93.0
30,12.99,12,0.9900000000000002,91.75
31,11.28,12,0.7200000000000006,94.0
32,30.75,12,18.75,-56.25
33,25.17,24,1.1700000000000017,95.12
34,16.44,12,4.440000000000001,63.0
35,30.75,60,29.25,51.25
36,57.62,60,2.3800000000000026,96.03
37,35.4,36,0.6000000000000014,98.33
38,24.0,24,0.0,100.0
39,59.49,60,0.509999999999998,99.15
40,6.06,6,0.05999999999999961,99.0
41,57.62,60,2.3800000000000026,96.03
42,6.33,6,0.33000000000000007,94.5
43,30.75,24,6.75,71.88
44,5.7,6,0.2999999999999998,95.0
45,19.56,12,7.559999999999999,37.0
46,20.74,24,3.2600000000000016,86.42
47,11.43,12,0.5700000000000003,95.25
48,33.0,36,3.0,91.67
49,5.82,3,2.8200000000000003,6.0
50,23.34,24,0.6600000000000001,97.25
